MODULE,MODULE_TITLE,MODULE_TYPE,,,,,,,
AM1010,Latin America and the Caribbean,2,,,"# 1: Numerical/Quantitative/Science/Engineering, ",,,,
CE2640,Intro to Coaching and Mentoring,4,,,"# 2: Social Science/Social Studies, Qualitative, ",,,,
CH1550,Chemistry Laboratory and Assessed Work,1,,,# 3: Languages  AND HUMANITIES?,,,,Note: there were computer languages coded as 3. I would stick with spoken languages. Coded them 4
CH1600,Introduction to Inorganic Chemistry,1,,,# 4: Others,,,,
CH1610,Introduction to Organic Chemistry,1,,,NA = other?,,,,
CH1620,Introduction to Physical Chemistry,1,,,Unclear/unknown = 5?,,,,
CH2220,Chemistry Laboratory,1,,,,,,,
CH2420,Introduction to Polymer Chemistry,1,,,,,,,
CH2480,Organic Synthesis,1,,,,,,,
CH2490,Foundations of Electrochemistry and Properties of Solutions,1,,,,,,,
CH2640,Organic Chemistry II,1,,,,,,,
CH2650,Statistical Mechanics,1,,,,,,,
CH2660,Symmetry & Group Theory in Chemistry,1,,,,,,,
CH2670,"Transition Metal Chemistry: Structure, Reactivity & Organometalic Chemistry",1,,,,,,,
CH2680,Solid State Materials,1,,,,,,,
CH2690,Introduction to Biological & Medicinal Chemistry,1,,,,,,,
CH2A50,Key Skills,5,,,,,,,
CS1180,Programming for Computer Scientists,1,,,,,,,
CS1260,Design of Information Structures,5,,,,,,,
CS1300,Mathematics for Computer Scientists I,1,,,,,,,
CS1310,Mathematics for Computer Scientists II,1,,,,,,,
CS1320,Computer Organisation and Architecture,4,,,,,,,
CS1330,Professional Skills,4,,,,,,,
CS1370,Discrete Mathematics & its Applications 2,1,,,,,,,
CS1390,Web Development Technologies,4,,,,,,,
CS1400,Computer Security,4,,,,,,,
CS1410,Functional Programming,4,,,,,,,
CS1420,Visualisation,4,,,,,,,
CS1420,Visulisation,4,,,,,,,
CS2410,Operating Systems and Computer Networks,4,,,,,,,
CS2540,Algorithmic Graph Theory,1,,,,,,,
CS2550,Artificial Intelligence,4,,,,,,,
CS2570,Advanced Computer Architecture,4,,,,,,,
CS2580,Database Systems,1,,,,,,,
CS2590,Formal Languages,4,,,,,,,
CS2600,Algorithms,1,,,,,,,
CS2610,Software Engineering,4,,,,,,,
CS2620,Logic and Verification,4,,,,,,,
CS2630,Cyber Security,4,,,,,,,
CS3240,Computer Graphics,4,,,,,,,
CS3310,Neural Computing,4,,,,,,,
CS3420,Machine Learning,4,,,,,,,
CS3480,Social Informatics,4,,,,,,,
CX1020,Introduction to Greek & Roman History,3,,,,,,,
EC1040,The World Economy: History & Theory,4,,,,,,,
EC1060,Introduction to Quantitative Economics,1,,,,,,,
EC1090,Microeconomics 1,1,,,,,,,
EC1190,Mathematical Analysis,1,,,,,,,
EC1210,Mathematical Techniques A,1,,,,,,,
EC1220,Statistical Techniques A,1,,,,,,,
