MODULE,MODULE_TITLE
AM1010,Latin America and the Caribbean
CE2640,Intro to Coaching and Mentoring
CH1550,Chemistry Laboratory and Assessed Work
CH1600,Introduction to Inorganic Chemistry
CH1610,Introduction to Organic Chemistry
CH1620,Introduction to Physical Chemistry
CH2220,Chemistry Laboratory
CH2420,Introduction to Polymer Chemistry
CH2480,Organic Synthesis
CH2490,Foundations of Electrochemistry and Properties of Solutions
CH2640,Organic Chemistry II
CH2650,Statistical Mechanics
CH2660,Symmetry & Group Theory in Chemistry
CH2670,"Transition Metal Chemistry: Structure, Reactivity & Organometalic Chemistry"
CH2680,Solid State Materials
CH2690,Introduction to Biological & Medicinal Chemistry
CH2A50,Key Skills
CS1180,Programming for Computer Scientists
CS1260,Design of Information Structures
CS1300,Mathematics for Computer Scientists I
CS1310,Mathematics for Computer Scientists II
CS1320,Computer Organisation and Architecture
CS1330,Professional Skills
CS1370,Discrete Mathematics & its Applications 2
CS1390,Web Development Technologies
CS1400,Computer Security
CS1410,Functional Programming
CS1420,Visualisation
CS1420,Visulisation
CS2410,Operating Systems and Computer Networks
CS2540,Algorithmic Graph Theory
CS2550,Artificial Intelligence
CS2570,Advanced Computer Architecture
CS2580,Database Systems
CS2590,Formal Languages
CS2600,Algorithms
CS2610,Software Engineering
CS2620,Logic and Verification
CS2630,Cyber Security
CS3240,Computer Graphics
CS3310,Neural Computing
CS3420,Machine Learning
CS3480,Social Informatics
CX1020,Introduction to Greek & Roman History
EC1040,The World Economy: History & Theory
EC1060,Introduction to Quantitative Economics
EC1090,Microeconomics 1
EC1190,Mathematical Analysis
EC1210,Mathematical Techniques A
EC1220,Statistical Techniques A
EC1230,Mathematical Techniques B
EC1310,Economics for Business
EC1320,The Industrial Economy: Strategy
EC1330,Linear Algebra
EC1380,Introduction to Environmental Economics
EC2010,Macroeconomics 2
EC2020,Microeconomics 2
EC2030,Applied Econometrics
EC2030,Economic and Social Statistics
EC2040,Economics 2
EC2050,Development Economics:Macroeconomics
EC2080,Industrial Economics 1: Market Structure
EC2200,Mathematical Economics 1a
EC2210,Mathematical Economics 1b
EC2240,War and Economy in the Twentieth Century
EC2260,Econometrics 1
EC2280,Collective Decisions
EC2290,Economics of Strategy
EC2300,Economics of Money and Banking
EC2310,Industrial Economics 1: Strategic Behaviour
EC2330,Development Economics: Microeconomics
EC2390,Economics 2: Macroeconomics 1
