MODULE,MODULE_TITLE,MODULE_TYPE
AM1010,Latin America and the Caribbean,2
CE2640,Intro to Coaching and Mentoring,NA
CH1550,Chemistry Laboratory and Assessed Work,1
CH1600,Introduction to Inorganic Chemistry,1
CH1610,Introduction to Organic Chemistry,1
CH1620,Introduction to Physical Chemistry,1
CH2220,Chemistry Laboratory,1
CH2420,Introduction to Polymer Chemistry,1
CH2480,Organic Synthesis,1
CH2490,Foundations of Electrochemistry and Properties of Solutions,1
CH2640,Organic Chemistry II,1
CH2650,Statistical Mechanics,1
CH2660,Symmetry & Group Theory in Chemistry,1
CH2670,"Transition Metal Chemistry: Structure, Reactivity & Organometalic Chemistry",1
CH2680,Solid State Materials,1
CH2690,Introduction to Biological & Medicinal Chemistry,1
CH2A50,Key Skills,4
CS1180,Programming for Computer Scientists,1
CS1260,Design of Information Structures,3
CS1300,Mathematics for Computer Scientists I,1
CS1310,Mathematics for Computer Scientists II,1
CS1320,Computer Organisation and Architecture,3
CS1330,Professional Skills,3
CS1370,Discrete Mathematics & its Applications 2,1
CS1390,Web Development Technologies,3
CS1400,Computer Security,3
CS1410,Functional Programming,3
CS1420,Visualisation,NA
CS1420,Visulisation,NA
CS2410,Operating Systems and Computer Networks,3
CS2540,Algorithmic Graph Theory,1
CS2550,Artificial Intelligence,3
CS2570,Advanced Computer Architecture,NA
CS2580,Database Systems,1
CS2590,Formal Languages,3
CS2600,Algorithms,1
CS2610,Software Engineering,3
CS2620,Logic and Verification,3
CS2630,Cyber Security,3
CS3240,Computer Graphics,3
CS3310,Neural Computing,NA
CS3420,Machine Learning,3
CS3480,Social Informatics,NA
CX1020,Introduction to Greek & Roman History,3
EC1040,The World Economy: History & Theory,3
EC1060,Introduction to Quantitative Economics,1
EC1090,Microeconomics 1,1
EC1190,Mathematical Analysis,1
EC1210,Mathematical Techniques A,1
EC1220,Statistical Techniques A,1
EC1230,Mathematical Techniques B,1
EC1310,Economics for Business,1
EC1320,The Industrial Economy: Strategy,3
EC1330,Linear Algebra,1
EC1380,Introduction to Environmental Economics,1
EC2010,Macroeconomics 2,1
EC2020,Microeconomics 2,1
EC2030,Applied Econometrics,1
EC2030,Economic and Social Statistics,1
EC2040,Economics 2,1
EC2050,Development Economics:Macroeconomics,1
EC2080,Industrial Economics 1: Market Structure,1
EC2200,Mathematical Economics 1a,1
EC2210,Mathematical Economics 1b,1
EC2240,War and Economy in the Twentieth Century,3
EC2260,Econometrics 1,1
EC2280,Collective Decisions,3
EC2290,Economics of Strategy,1
EC2300,Economics of Money and Banking,1
EC2310,Industrial Economics 1: Strategic Behaviour,1
EC2330,Development Economics: Microeconomics,1
EC2390,Economics 2: Macroeconomics 1,NA
EC3010,Mathematical Economics 2,NA
EC3030,The British Economy in the 20th Century,2
EC3040,Making of Economic Policy,1
EC3040,Making of Economic Policy,2
EC3060,Econometrics 2: Time Series,1
EC3070,Macroeconomic Policy in the EU,3
EC3100,Topics in Development Economics,3
EC3120,International Economics,1
EC3130,The International Economic System since 1918,3
EC3140,Topics in Economic Theory,3
EC3180,Labour Economics,3
EC3200,Economics of Public Policy,3
EC3330,Topics in Financial Economics: Theory & Intl Pract,1
EC3340,Topics in Financial Economics: Corp Fin & Mkts,1
EC3350,Managerial Economics,3
EC3360,International Trade,2
EC3370,Industrial Economics 2,1
EC3380,Econometrics 2: Microeconometrics,1
EC3400,Topics in Applied Economics,1
EC3450,Behavioural Economics: Theory and Applications,1
EN1010,Epic into Novel,3
EN1230,Literature in the Modern World,3
EN2010,The European Novel,3
EN3870,Queering the Literacy Landscape,3
EN3930,Advanced Screenwriting,3
EQ1010,Contemporary Educational Issues,2
EQ1040,International Education,2
EQ1050,Social Contexts of Childhood and Education,2
EQ2040,Work based placement,4
EQ2120,Education and Social Justice,NA
EQ3070,"Race, Ethnics and Education",2
EQ3130,Education and Social Justice,2
ES101,Introduction to Engineering: Professionalism and Practice,3
ES1010,Introduction to Engineering: Professionalism and Practice,NA
ES1730,Biomedical Engineering,3
ES1740,Design for Function,3
ES1770,The Aesthetics of Design,3
ES1810,Technology in International Development,3
ES1820,Multimedia Technology,3
ES1830,Engineering Mathematics and Systems Modelling,1
ES1840,"Mechanics, Structures and Thermodynamics",1
ES1850,Electrical and Electronic Circuits,1
ES1870,Introduction to Engineering Business Management,3
ES190,Dynamics and Thermodynamics,3
ES1900,Dynamics and Thermodynamics,NA
ES191,Electrical and Electronic Circuits,3
ES1910,Electrical and Electronic Circuits,NA
ES192,Engineering Design,3
ES1920,Engineering Design,NA
ES193,Engineering Mathematics,1
ES1930,Engineering Mathematics,NA
ES194,Introduction to Engineering Business Management,3
ES1940,Introduction to Engineering Business Management,NA
ES195,Materials for Engineering,3
ES1950,Materials for Engineering,NA
ES196,Statics and Structures,1
ES1960,Statics and Structures,NA
ES197,"Systems Modelling, Simulation and Computation",3
ES2A80,Engineering Design,3
ES2A90,Engineering Mathematics and Technical Computing,1
ES2B00,Mechanics of Solids and Fluids,3
ES2B10,Energy Conservation and Power Systems,3
ES2B20,Technical Operations Management,3
ES2B30,Engineering Materials,3
ES2B60,Starting a Business,2
ES2C5,Dynamics and Fluid Mechanics,3
ES2C50,Dynamics and Fluid Mechanics,NA
ES2C6,Electromechanical System Design,3
ES2C60,Electromechanical System Design,NA
ES2C7,Engineering Mathematics and Data Analytics,1
ES2C70,Engineering Mathematics and Data Analytics,NA
ES2D0,Industrial Engineering,3
ES2D00,Industrial Engineering,NA
ES2D30,Motor Vehicle Technology,NA
ES2D7,Systems and Software Engineering Principles,3
ES2D8,Technical Operations Management,3
ES2D80,Technical Operations Management,NA
ET2120,Intercultural Business Communication,NA
ET2150,Quantitative Research Methods,1
FI1010,Discovering Cinema,3
FI1010,Intro to Film Studies,3
FI2040,World Cinema,NA
FI2120,Italian Cinema: The Rise of NeoRealism,NA
FI2490,Classical Hollywood,NA
FI2510,Post-Classical Hollywood,NA
FI3480,Film Analysis & Methods,NA
FI3520,Film History & Methods,NA
FP0060,Mathematics and Statistics,1
FP0110,Inquiry and Research Skills for Business,3
FP0180,Economics,1
FP0200,Pure Mathematics,1
FR2010,Modern French Language II,NA
FR340,States of the Nation: French Cinema and Society from 1990 to the present,3
GD1070,Global Sustainable Development (GSD) Project,2
GD3040,"Food Systems: Security, Sovereignty and Sustainability",3
GD3050,Challenges of Climate Change,3
GD3060,Achieving Sustainability: Potentials and Barriers,3
GE1010,Modern German Language I,3
GE1020,Modern German Language (International Business) I,3
GE1030,Modern German Language for Beginners,3
GE2010,Modern German Language II,3
GE2020,Modern German Language (International Business) II,3
GE2030,Modern German Language 2,NA
GE3010,German for International Business 4,3
HA1A10,Introduction to Art History:The Natural World and the Arts of Modernity,3
HA1A20,Introduction to Art History: Classicism,NA
HA2C70,Italian Renaissance Sculpture,3
HA2D10,Spanish Painting of the Golden Age,3
HI153,Making of the Modern World,3
HI1740,The Enlightenment,3
HI1760,Kill or Cure:  The History of Medicine,3
HI1770,"A History of Africa, 1830-1980",3
HI2770,Africa and the Cold War,3
HI2A50,"Individual, Polis and Society: Philosophical Reflections in History",2
HI2B50,A Global History of Football,3
HI2B60,A Social History of Cricket,3
HI2F40,Modern China in Eight Events,NA
IB0010,Undergraduate induction Programme,4
IB0010,Undergraduate Induction Programme,3
IB0011,Undergraduate Induction Foundation Year,3
IB0040,Business Mathematics and Statistics,1
IB0040,Statistics,1
IB0050,Foundations of Business,2
IB0060,Academic Practice,2
IB0060,CORE Learning,2
IB0070,Creativity and Innovation,2
IB0070,"Problem-Solving in Organisations",NA
IB0080,Individual Project,3
IB0090,Advanced Mathematics,1
IB0100,Intermediate Mathematics,1
IB0110,Introducing Accounting and Finance,NA
IB0120,Maths for Management,NA
IB0130,Business Consulting,NA
IB1040,Mathematical Programming I,1
IB1130,Business Law,2
IB1130,Business Law 1,2
IB1140,Financial Management,1
IB1150,Business Planning - Integrative Project,2
IB1160,Foundations of Management Accounting,2
IB1170,"Markets, Marketing and Strategy",2
IB1170,Principles of Marketing and Strategy,2
IB1200,Operations Management,3
IB1210,Business Statistics,1
IB1210,Quantitative Analysis for Management I,1
IB1220,Business Analytics,1
IB1220,Quantitative Analysis for Management II,1
IB1230,Foundations of Organisational Behaviour,2
IB1240,Introduction to Financial Accounting,1
IB1250,Foundations of Financial Management,1
IB1320,Foundations of Finance,1
IB1330,Foundations of Accounting,1
IB1340,Digital Business in Modern Organisations,2
IB1350,Business Systems Analysis,4
IB1360,Data Modelling and Analysis,1
IB1370,Programming Solutions 1,1
IB1380,"Management, Organisation and Society",2
IB1390,CORE Practice: Shaping your future self,2
IB1410,Digital Innovation Project 1,2
IB1420,Agile Programming,1
IB1430,Digital Ventures,2
IB1440,Introduction to Innovation and Entrepreneurship,2
IB1450,"CORE: Foundations, Skills and Debates",2
IB145W,"CORE: Foundations, Skills & Debates Workshop",2
IB1460,Accounting for Business,1
IB1470,Management of Global Risks,3
IB1480,Principles of Marketing,2
IB1490,"Introduction to Statistics",NA
IB1500,Foundations of Data Analysis for Management,NA
IB2070,Mathematical Programming 2,1
IB2090,Marketing,2
IB2110,Simulation,3
IB2170,Starting a Business,2
IB2190,Quantitative Methods for Multivariate Analysis,1
IB2200,Quantitative Methods for Resource Management,1
IB2300,Accounting in Context,1
IB2320,Issues in Management Accounting,4
IB2330,Financial Reporting 1,1
IB2340,Financial Reporting 2,1
IB2350,Finance 1: Financial Markets,1
IB2360,Finance 2: Corporate Finance,1
IB2370,Business Law 2,2
IB2380,Organisational Analysis,2
IB2390,Changing Organisations,2
IB2400,Understanding Employment Relations,2
IB2420,Digital Business and Workplace Technologies,4
IB2430,Business Systems Development,4
IB2440,Managing Customer Service,2
IB2470,Improving Process Performance,4
IB2480,"Governance, Politics and Corporate Accountability",2
IB2490,CORE: Global Environment of Business,2
IB2490,Global Environment of Business,2
IB2500,Global Integrative Project,2
IB2530,Principles of Finance 1,1
IB2540,Principles of Finance 2,1
IB2550,Entrepreneurship and New Businesses,2
IB2560,UPP Accounting and Finance in Context,4
IB2570,UPP Employment Year Portfolio,4
IB2580,Foundations of Human Sociality and Cooperation,2
IB2600,Business Consulting/Research Methods,2
IB2610,Enterprise Information Systems,2
IB2630,Design Thinking for Digital Innovation,4
IB2640,Acting Responsibly,2
IB2650,Service Marketing,2
IB2660,Fundamentals of Finance,1
IB2680,"Entrepreneurial Finance and Venture Capital",NA
IB2690,Consumer Behaviour,NA
IB2A50,Web Applications Development,4
IB2A70,Study Abroad Part-Year,3
IB2A80,Study Year Abroad,3
IB2A90,Work Placement Part Year,3
IB2B00,Work Placement Year,3
IB2B10,CORE: Entrepreneurial Mindset,NA
IB2B20,Financial Econometrics,NA
IB2B30,Funding Your Digital Venture,4
IB2B40,Digital Business in Modern Organisations,2
IB2B50,Marketing Strategy,2
IB2B60,Marketing Research,NA
IB2B70,Corporate Entrepreneurship,NA
IB2B80,Operations Management,2
IB2C10,Fundamentals of Business Law,2
IB2C20,Critical Issues in Law and Management,2
IB2C40,Managing Human Resources,NA
IB2C50,Foundations of Marketing,2
IB2C60,"Global Environment of Business (AISP)",NA
IB2C70,The Transformed Workplace-Managing in the Digital Era,NA
IB2C90,Principles of Entrepreneurship,NA
IB3120,Project (Full weight),3
IB3121,Project (Half weight),3
IB3130,Business Studies I,2
IB3140,Business Studies II,2
IB3200,Simulation,1
IB3260,Buyer Behaviour,2
IB3260,Consumer Behaviour,2
IB3370,Business Taxation,1
IB3490,Operational Research for Strategic Planning,4
IB3520,Applied Optimisation Methods,1
IB3520,Applied Optimization Methods,1
IB3570,Investment Management,1
IB3590,"Derivatives and Risk Management
",NA
IB3610,Equality and Diversity,2
IB3620,Managing Human Resources,2
IB3650,Marketing Communications,2
IB3680,International Business Strategy,2
IB3700,Managing Strategy in the Digital Era,2
IB3700,Strategic Information Management,2
IB3730,Advanced Management Accounting,1
IB3770,Advanced Financial Reporting,1
IB3810,Critical Issues in Management,2
IB3820,Project Management,2
IB3840,Supply Chain Management,4
IB3850,Marketing,2
IB3860,International Business in Context,2
IB3870,Marketing Strategy,2
IB3880,International Marketing,2
IB3900,Year Abroad Portfolio,3
IB3940,International Financial Management,1
IB3950,Finance in New Ventures,1
IB3960,Financial Statement Analysis & Security Valuation,1
IB3A20,Critical Issues in Law and Management,2
IB3A50,Marketing Management,2
IB3A70,The Practice of Operational Research,4
IB3A90,Design in Business,2
IB3D80,Corporate Strategy Part A,2
IB3D90,Corporate Strategy Part B,2
IB3E00,Comparative European Employment Relations,2
IB3E10,International and European Employment Relations,2
IB3E50,Managing IT Enterprise Architecture,4
IB3E60,Ethical Issues & Social Responsibility in Contemporary Business,2
IB3E60,Ethical Issues in Contemporary Business,NA
IB3E80,Managerial Work and Practice,2
IB3E90,Managing IT Solution Architecture,4
IB3F00,"Auditing, Governance and Accountability",1
IB3F20,Company Law,2
IB3F60,Understanding Enterprise,2
IB3F70,Understanding the Entrepreneur,2
IB3G40,Law for Entrepreneurs,2
IB3H00,International Management in Context,2
IB3H40,Styles of Coaching and Team Leadership,2
IB3H50,Images of Creativity,2
IB3H70,Mergers and Acquisitions,2
IB3H80,Leadership,2
IB3H90,"Strategic Games:Thinking rationally about business, policy and real life",4
IB3J00,Behavioural Economics,4
IB3J20,Decision Making under Uncertainty,1
IB3J30,Mathematical Game Theory: Combinatorial and Search Games,1
IB3J50,Emotions in Business,2
IB3J60,Neuroscience for Business and Social Studies,4
IB3J80,Banks and Financial Systems,1
IB3J90,Open Innovation in the Digital Economy,2
IB3K10,Global Sourcing and Innovation,2
IB3K20,Financial Optimisation,1
IB3K40,Dissertation UGISMI,3
IB3K50,"Artificial Intelligence for Business",NA
IB3K50,Business Data Analytics,1
IB3K70,Financial Markets: Organisations and Technology,1
IB3K80,"The Economics of Well-Being",NA
IB3L00,Critical Perspectives of Accounting,2
IB3L10,Customer Experience,NA
IB3L30,Innovation Management,NA
IB3L40,Building a Venture,NA
IB3L50,"Developing and Communicating Powerful Brands",NA
IB3L60,Digital Innovation Project,NA
IB3L60,Digital Innovation Project 2,3
IB3L70,Global Issues in Marketing,NA
IB3M10,FinTech,NA
IB3M20,Acting Responsibly,NA
IB3M50,Advanced Analysis for Marketing Decisions,NA
IB3M70,Alternative and Responsible Investments,NA
IB3M80,"Accounting for Sustainability, People, Planet",NA
IB3M90,"International Perspectives in Business, Management and Society",NA
IB3N20,Cognition and Decision Making in Entrepreneurship,NA
IB3N30,Auditing and Accountability,NA
IB4030,MMORSE - Dissertation,3
IB4050,"International Perspectives in Business , Management and Society",2
IB4080,Operational Research for Strategic Planning,NA
IB4090,Business and Society in Contemporary Germany,2
IB4100,Mathematical Game Theory: Combinatorial and Search Games,NA
IB91SB,Strategy Analysis and Practice,2
IB91W0,Operations Management,4
IB91X0,Marketing,2
IB93PB,International Business,2
IB94W0,Spreadsheet Modelling,1
IB98R0,Leading and Managing Change,2
IB9AZ0,Fundamentals of Economic Behaviour,4
IB9BC0,Strategic Management Accounting,4
IB9BCB,Strategic Management Accounting,4
IB9BQ0,Pricing & Revenue Management,1
IB9BS0,Supply Chain Analytics,4
IB9BW0,Analytics in Practice,4
IB9CFM,Research Methods,NA
IB9CW0,Text Analytics,NA
IB9HP0,Data Management,4
IB9QU0,Pricing Analytics,NA
IB9V00,Corporate Finance,NA
IB9X30,Research Methods for Marketing and Strategy,2
IB9Y60,Empirical Finance,NA
IBWELF,Welcome and Induction,NA
IE3E10,Introduction to Secondary School Teaching (Mathematics),3
IE3E2,Introduction to Secondary Teaching in Physics,3
IL0020,Navigating Psychopathology,2
IL0050,Applied Imagination: Theory and Practice,2
IL0060,Climate Change,2
IL0080,Reinventing Education,2
IL0120,Achieving Sustainability,2
IL0140,Global Connections,NA
IL0160,The Science of Music,4
IL0170,Community Engagement,2
IL0180,Censorship and Society,2
IL0200,Entrepreneurship A Critical Perspective,2
IL0220,"Sport, Philosophy and Practice",3
IL0230,Genetics: Science and Society,3
IL0240,Laughter: a Transdisciplinary Approach,2
IL0260,Gender & Violence,2
IL0270,Interdisciplinary Computer Modelling,1
IL0290,An Introduction to Design Thinking Theory and Practice,3
IL0300,"South Asia in Britain: Connections, Communities and Conflict",2
IL0310,Serious Tabletop game design & development,4
IL0320,"Critical Understandings, Practices and Action",4
IL1010,Forms of Identity,NA
IL1020,Navigating Psychopathology,NA
IL1050,Applied Imagination: Theory & Practice,NA
IL1080,Reinventing Education,NA
IL1140,Global Connections: A Transdisciplinary Approach,NA
IL1200,Entrepreneurship: A Critical Perspective,NA
IL1280,Understanding Wellbeing: Theory & Practice,NA
IL1290,"An Introduction to Design Thinking, Theory and Practice",NA
IL1310,Serious Tabletop Game Design & Development,NA
IT1010,Italian for Beginners,3
IT1050,Working Italian,3
IT1070,Modern Italian Language I,3
IT1080,Modern Italian Language I (intermediate),3
IT2010,Modern Italian Language II,3
IT3010,Modern Italian Language III,3
IT4010,Modern Italian Language IV,3
LA1030,Introduction to the Law of Property Relations,2
LA1040,Criminal Law,2
LA1150,The Modern English Legal System,3
LA1160,Introduction to Legal Theory,2
LA1240,Tort Law,2
LA2010,General Principles of Constitutional & Admin Law,2
LA2050,International Law,2
LA2120,French Law,NA
LA2170,Social Theory of Law,2
LA2270,Introduction to Competition Law,2
LA2300,Law and the International Business Environment,2
LA2330,Refugee and Asylum Law,2
LA2360,Criminal Justice & Human Rights in Europe,2
LA2380,Advanced Themes in Competition Law & Policy,NA
LA2390,Human Rights in Practice,NA
LA2400,Foundations of European Law,2
LA2410,Law & Policies of the European Union,2
LA2420,"Origins, Images and Cultures of English Law",2
LA2430,Contract Law,2
LA3070,Law of Trusts A and B,2
LA3100,Law of Business Organisations,2
LA3200,Comparative Human Rights,2
LA3330,Medicine and the Law,3
LA3410,Introduction to Law and Culture of Japan,2
LA3460,Gender and the Law,2
LA3510,"Taxation Law, Policy and Principles",4
LA3520,International Criminal Law,2
LA3540,An Introduction to Islamic Law,2
LA3550,Conflict of Laws in a Commercial Context,2
LA3580,Child Law,2
LA3590,Family Law,2
LA3630,Climate Change and Law,2
LA3630,"Law, Globalisation and the Environment",2
LA3650,Financial Services Regulation,1
LA3660,Global Intellectual Property Law and Policy,2
LA3670,International Economic Law,2
LA3700,Comparative Constitutional Theory,2
LA3710,Corporate Tax Law,NA
LA3720,Foundations of Commercial Law,2
LA3730,Advanced Legal System,2
LA3730,Criminal Evidence,2
LA3740,Crime and Punishment,2
LA3770,Introduction to Criminology,NA
LA3790,Law and Disorder,NA
LA3810,Writing Human Rights,NA
LA383,Issues in the Legal History of Race,NA
LA3840,The Art of Advocacy: Mooting and Forensic Rhetoric,2
LA3870,Legal Issues of Brexit,3
LA3910,Data Protection Law,3
LA3930,Transitional Justice,NA
LA3940,Global Health Law,2
LA3950,"National Liberation, Imperialism and International Law",NA
LA3970,Practical Advocacy,4
LA3980,History of the Philosophy of Law,NA
LA3A70,"Restorative Justice
Restorative Justice",NA
LA4020,Law Dissertation,NA
LA4030,Law Dissertation (Half weight),NA
LL1130,French 1,3
LL1170,German 1,3
LL1210,Spanish 1,3
LL1220,Russian 1,3
LL1280,Spanish for International Business 1,3
LL1290,Japanese 1,3
LL1300,Chinese 1,3
LL1310,Arabic 1,3
LL1A30,Introduction to French Language,NA
LL1A90,Introduction to Spanish Language,NA
LL2080,French 4,3
LL2090,French 5,3
LL20A,German Intermediate Accelerated,3
LL2110,German 4,3
LL2120,German 5,3
LL2150,Spanish 2,3
LL2160,Russian 2,3
LL2220,Spanish 3,3
LL2230,Spanish for International Business 2,3
LL2240,Spanish 4,3
LL2250,Japanese 2,3
LL2260,Japanese 3,3
LL2270,Chinese 2,3
LL2280,Spanish 5,3
LL2290,German 6,3
LL2300,Chinese 3,3
LL2320,Japanese 4,3
LL2330,Arabic 2,3
LL2340,French 2,3
LL2350,German 2,3
LL2360,French 3,3
LL2370,German 3,3
LL2390,Chinese 4,3
LL2450,Chinese 5,3
LL2500,French for Business (advanced 1),3
LL2510,French for Business (advanced 2),3
LL2530,Russian 3,3
LL2550,French Intermediate Accelerated,3
LL2560,Russian 4,3
LL2570,Spanish Intermediate Accelerated,3
LL2590,Arabic 3,3
LL2600,Chinese Intermediate Accelerated,3
LL2620,French Beginners Accelerated,3
LL2630,German Beginners Accelerated,3
LL2640,Spanish Beginners Accelerated,3
LL2900,Arabic Beginners (Accelerated),3
LL2910,Japanese for Beginners (Accerlerated),3
LL2920,Portuguese Beginners (Accelerated),3
LL2930,Russian Beginners Accelerated,3
LL2940,Spanish through Translation,3
LL2950,Spanish Language Through Films,3
LL2970,French Through Translation,3
LL2980,French Language Through Films,3
LL2990,Portuguese Intermediate accelerated,3
