"","ID_anonym","NATIONALITY","ACRONYM.FY.","STARTYEAR.FY.","CURRENTSTAGE.FY.","STAGE_DESCRIPTION.FY.","CURRENTSTATUS.FY.","STATUS_DESCRIPTION.FY.","ACRONYM","STARTYEAR","CURRENTSTAGE","STAGE_DESCRIPTION","CURRENTSTATUS","STATUS_DESCRIPTION","wp_INDEX","WP_ALP_Flag.J.","WP_FSM_Flag.J.","WP_GCSE_Flag.J.","LPN_Quintile.J.","LowSEC_Flag.J.","ParentInHE_Flag.J.","InCare_Flag.J."
"1",45257404,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,NA,"N","N",2,"N","No","No"
"2",45257625,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,"N","No","No"
"3",45258404,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,"N","No","No"
"4",45258583,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,"Y",NA,"No"
"5",45258938,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,"N","Yes","No"
"6",45259244,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,"N","No","No"
"7",45261519,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,"Y","Not known","No"
"8",45261885,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,"N","No","No"
"9",45262822,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,5,"N",NA,"No"
"10",45263515,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,3,"N","Y","N",2,"N","Yes","Yes"
"11",45266169,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,4,"Y","N","Y",1,"N","Yes","No"
"12",45266482,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,"N","Y","N",5,"N","No","No"
"13",45266886,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,"N","Y","N",5,"N","No","No"
"14",45266887,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,3,"N","Y","N",5,"Y","No","No"
"15",45266927,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,5,"N","Y","N",1,"Y","No","No"
"16",45268334,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,"Y","No","No"
"17",45268705,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,5,"Y","Y","Y",2,"N","No","No"
"18",45269302,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,4,"N","Y","Y",NA,"Y","No","No"
"19",45269461,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,0,"N","N","N",5,"N","Not known","No"
"20",45269613,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,"N","Y","N",4,"N","No","Unanswered"
"21",45269614,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,"N","Y","N",4,"N","No","No"
"22",45270016,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,"N","N","N",3,"N","No","No"
"23",45270414,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,4,"N","Y","Y",2,"Y","Yes","No"
"24",45275991,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,3,"Y",NA,NA,4,"Y","No","No"
"25",45279065,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,5,"Y","Y","Y",2,"N","No","No"
"26",45280350,NA,"FY","2019-2020","1","Stage 1","F","Full",NA,NA,NA,NA,NA,NA,2,"N",NA,NA,5,"Y","No","No"
