"MODULE","MODULE_TITLE"
"IB1040","Mathematical Programming I"
"IB2070","Mathematical Programming 2"
"IB1200","Operations Management"
"IB1230","Foundations of Organisational Behaviour"
"EC1310","Economics for Business"
"IB1210","Quantitative Analysis for Management I"
"IB1320","Foundations of Finance"
"IB1330","Foundations of Accounting"
"IB1160","Foundations of Management Accounting"
"IB2090","Marketing"
"IB3D80","Corporate Strategy Part A"
"IB3840","Supply Chain Management"
"IB2650","Service Marketing"
"IB3130","Business Studies I"
"IB3490","Operational Research for Strategic Planning"
"IB3A70","The Practice of Operational Research"
"IB2B40","Digital Business in Modern Organisations"
"IB3A50","Marketing Management"
"IB3E60","Ethical Issues & Social Responsibility in Contemporary Business"
"IB3520","Applied Optimisation Methods"
"IB2A50","Web Applications Development"
"IB3680","International Business Strategy"
"IB2380","Organisational Analysis"
"IB2110","Simulation"
"IB2530","Principles of Finance 1"
"IB3570","Investment Management"
"ST9060","Financial Time Series"
"ST9580","Topics in Mathematical Finance"
"IB3820","Project Management"
"IB4030","MMORSE - Dissertation"
"IB3J30","Mathematical Game Theory: Combinatorial and Search Games"
"IB1240","Introduction to Financial Accounting"
"IB1250","Foundations of Financial Management"
"IB1220","Quantitative Analysis for Management II"
"IB1390","CORE Practice: Shaping your future self"
"IB1380","Management, Organisation and Society"
"IB1170","Markets, Marketing and Strategy"
"IB1150","Business Planning - Integrative Project"
"EC2290","Economics of Strategy"
"IB1130","Business Law 1"
"IB2200","Quantitative Methods for Resource Management"
"IB2350","Finance 1: Financial Markets"
"IB2360","Finance 2: Corporate Finance"
"IB2480","Governance, Politics and Corporate Accountability"
"IB2490","Global Environment of Business"
"IB2500","Global Integrative Project"
"IB2370","Business Law 2"
"IB3810","Critical Issues in Management"
"IB3950","Finance in New Ventures"
"IB3960","Financial Statement Analysis & Security Valuation"
"IB3H70","Mergers and Acquisitions"
"IB3K70","Financial Markets: Organisations and Technology"
"IB1140","Financial Management"
"IB2300","Accounting in Context"
"IB2320","Issues in Management Accounting"
"IB2330","Financial Reporting 1"
"IB2340","Financial Reporting 2"
"IB3370","Business Taxation"
"IB3620","Managing Human Resources"
"IB3940","International Financial Management"
"IB3F20","Company Law"
"LL2270","Chinese 2"
"IB3590","Derivatives and Risk Management
"
"IB3J20","Decision Making under Uncertainty"
"IB3700","Strategic Information Management"
"IB3730","Advanced Management Accounting"
"LL2910","Japanese for Beginners (Accerlerated)"
"IB3F00","Auditing, Governance and Accountability"
"IB3A90","Design in Business"
"IB2440","Managing Customer Service"
"IB3K80","The Economics of Well-Being"
"IB1370","Programming Solutions 1"
"IB2550","Entrepreneurship and New Businesses"
"EC3350","Managerial Economics"
"IB2400","Understanding Employment Relations"
"LA1150","The Modern English Legal System"
"LA1240","Tort Law"
"IB3A20","Critical Issues in Law and Management"
"LA2400","Foundations of European Law"
"LA2430","Contract Law"
"LA3660","Global Intellectual Property Law and Policy"
"IB2580","Foundations of Human Sociality and Cooperation"
"IB2640","Acting Responsibly"
"LA1030","Introduction to the Law of Property Relations"
"LA2300","Law and the International Business Environment"
"LA3100","Law of Business Organisations"
"LA3330","Medicine and the Law"
"LA1040","Criminal Law"
"LA3070","Law of Trusts A and B"
"LA2010","General Principles of Constitutional & Admin Law"
"IB3H90","Strategic Games:Thinking rationally about business, policy and real life"
"IB3J90","Open Innovation in the Digital Economy"
"IB2420","Digital Business and Workplace Technologies"
"IB3260","Consumer Behaviour"
"IB3650","Marketing Communications"
"IB3870","Marketing Strategy"
"IB2430","Business Systems Development"
"IB2170","Starting a Business"
"IB3880","International Marketing"
"IB3J50","Emotions in Business"
"IB3F70","Understanding the Entrepreneur"
"IB3E00","Comparative European Employment Relations"
"IB3E10","International and European Employment Relations"
"IB2540","Principles of Finance 2"
"IB3850","Marketing"
