"MODULE","MODULE_TITLE","MODULE_TYPE"
"IB3590","Derivatives and Risk Management
",NA
"IB3K80","The Economics of Well-Being",NA
"IB3K50","Artificial Intelligence for Business",NA
"IL0080","Reinventing Education",NA
"LL3120","Spanish for Business 3",NA
"ST9580","Advanced Topics in Mathematical Finance",NA
"LA3970","Practical Advocacy",NA
"LA3870","Legal Issues of Brexit",NA
"LA3700","Comparative Constitutional Theory",NA
"LA3740","Crime and Punishment",NA
"LA3730","Criminal Evidence",NA
"LL2320","Japanese 4",NA
"LL3270","Chinese Advanced Literacy and Oracy",NA
"LL3240","Portuguese (Advanced)",NA
"PS3550","Attention
Guest access requires password

",NA
"IL0310","Serious Tabletop game design & development",NA
"IB0070","Problem-Solving in Organisations",NA
"LA3940","Global Health Law",NA
"PH3560","Post-Kantian Social and Political Philosophy: Hegel and Marx
            Module:
Post-Kantian Soci",NA
"EQ2040","Work based placement",NA
"EC3400","Topics in Applied Economics",NA
"PH3810","Philosophy of Emotions",NA
"LL2B50","Chinese Foundational Literacy and Oracy",NA
"LL2560","Russian 4",NA
"IL0300","South Asia in Britain: Connections, Communities and Conflict",NA
"SO1230","Sociology of Education",NA
"IL0170","Community Engagement",NA
"IL0320","Critical Understandings, Practices and Action",NA
"IB2490","CORE: Global Environment of Business",NA
"IB1480","Principles of Marketing",NA
"GE1030","Modern German Language for Beginners",NA
"GE1010","Modern German Language I",NA
"LA3670","International Economic Law",NA
"PO3740","Politics of Globalisation",NA
"PH2520","Epistemology",NA
"EC2330","Development Economics: Microeconomics",NA
"EC1380","Introduction to Environmental Economics",NA
"IL0240","Laughter: a Transdisciplinary Approach",NA
"EQ3070","Race, Ethnics and Education",NA
"PH148","Philosophy for the Real World: Knowledge, Ignorance and Bullshit",NA
"ST402","Risk Theory",NA
"EQ3130","Education and Social Justice",NA
"PO1340","Justice, Democracy and Citizenship",NA
"SO350","Punishment, Justice and Control",NA
"IB2C50","Foundations of Marketing",NA
"IB2B50","Marketing Strategy",NA
"IB2C10","Fundamentals of Business Law",NA
"IB2C20","Critical Issues in Law and Management",NA
"IB2B80","Operations Management",NA
"GE2010","Modern German Language II",NA
"IB9110","Asset Pricing and Risk",NA
"IB9170","Operations Management",NA
"IB9490","Investment Management",NA
"IB98W0","Management Accounting & Control",NA
"IB9AY0","Marketing",NA
"IB9EM0","Corporate Financial Management",NA
"IB9EN0","Financial Markets",NA
"IB9FQ0","Financial Accounting: Theory and Context",NA
"IB9U00","Financial Management",NA
"IB9W00","Quantitative Methods for Financial Management",NA
"IB9X60","Quantitative Methods for Finance",NA
"IB9Y00","Financial Markets and Instruments",NA
"IB9Y80","Asset Pricing",NA
"IB0010","Undergraduate induction Programme",NA
"IB145W","CORE: Foundations, Skills & Debates Workshop",NA
