ID_anonym,ind_WBS_Scholarship,Award,Course,Current stage,Award_type,ind_Warwick_Scholar,Access Programme 1,Access Programme 2,"Receipt of Bursary
(2K unless stated)",50% Fees?,UG Dept / Subject of Study,Start year,WP Criteria (WS Access Only),ind_Contextual_Offer,Year,CAP_CYCL,CAP_AYRC,CAP_UDF1,CAP_UDFF,ID_dup
45185232,Yes,COINS,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45169345,Yes,COINS,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45059952,Yes,COINS,FY,FY,Bursary,Yes,Warwick Scholars Access,Pathways to Banking and Finance,Yes,Yes,Accounting and Finance (with Foundation Year),2021/22,"Postcode (IMD 1), Free school meals, First in family",NA,NA,NA,NA,NA,NA,FALSE
45032693,Yes,COINS,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45035731,Yes,COINS,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45039164,Yes,Lion Rock Bursary,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45071485,Yes,Lion Rock Bursary,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45052346,Yes,Lion Rock Bursary,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45057772,Yes,Lion Rock Bursary,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45050577,Yes,Lion Rock Bursary,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45054547,Yes,Lion Rock Bursary,FY,FY,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45266927,Yes,Lion Rock Studentship,AF (FY),2,Full Fee Paying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45163911,Yes,Lion Rock Studentship,AF (FY),1,Full Fee Paying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45163911,Yes,Natwest,AF(FY),1,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
45262667,Yes,Natwest,MN(FY),1,Bursary,Yes,Realising Opportunities,NA,No,N/A,Management (with Foundation Year),2020/21,NA,NA,NA,NA,NA,NA,NA,FALSE
45084491,Yes,Natwest,MN,1,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45092589,Yes,Natwest,AF,1,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45053420,Yes,Natwest,AF,1,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45373862,Yes,RBS Management Scholarship,MN,3,Full Fee Paying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45380683,Yes,WISP,MNF (FY),3,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45465811,Yes,WISP,MN (FY),3,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45373662,Yes,WISP,AF (FY),3,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45478370,Yes,WISP,AF (FY),4,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45293049,Yes,WISP,MN,3,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45368526,Yes,WISP,MN (FY),3,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45270308,Yes,WISP,MN,3,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45132435,Yes,WISP,IM,2,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45372830,Yes,WISP,AF (FY),2,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45681771,Yes,WISP,AF,2,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45275991,Yes,WISP,MN(FY),2,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45258404,Yes,WISP,MN (FY),2,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45261519,Yes,WISP,MN (FY),2,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45161517,Yes,WISP,AF,2,Bursary,Yes,Realising Opportunities,NA,Yes,N/A,Accounting and Finance,2020/21,NA,Yes,2020,2020,20/21,REAL OPP,"Y,N,N,Y,Y,Y",FALSE
45164133,Yes,WISP,MN,2,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,Y,N,N,Y,Y",FALSE
45148025,Yes,WISP,AF,1,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45270289,Yes,WISP,AF (FY),1,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45149511,Yes,WISP,AF (FY),1,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45155860,Yes,WISP,MN (FY),1,Bursary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
