ID_anonym,Award,Scholarship,Context_offer
45380683,DSP,Yes,NA
45465811,DSP,Yes,NA
45373662,DSP,Yes,NA
45478370,DSP,Yes,NA
45266927,Lion Rock Studentship,Yes,NA
45163911,Lion Rock Studentship,Yes,NA
45293049,MSP,Yes,Yes
45368526,MSP,Yes,NA
45270308,MSP,Yes,NA
45373862,RBS Management Scholarship,Yes,NA
45132435,WISP,Yes,NA
45372830,WISP,Yes,NA
45681771,WISP,Yes,NA
45275991,WISP,Yes,NA
45258404,WISP,Yes,NA
45261519,WISP,Yes,NA
45161517,WISP,Yes,Yes
45164133,WISP,Yes,Yes
45148025,WISP,Yes,NA
45270289,WISP,Yes,NA
45149511,WISP,Yes,NA
45155860,WISP,Yes,NA
45152733,WISP,Yes,NA
45372152,Young Entrepreneurs,Yes,NA
45182814,Young Entrepreneurs,Yes,NA
45150115,Young Entrepreneurs,Yes,NA
45039164,Lion Rock Bursary,Yes,NA
45071485,Lion Rock Bursary,Yes,NA
45052346,Lion Rock Bursary,Yes,NA
45057772,Lion Rock Bursary,Yes,NA
45050577,Lion Rock Bursary,Yes,NA
45054547,Lion Rock Bursary,Yes,NA
45185232,COINS,Yes,NA
45169345,COINS,Yes,NA
45059952,COINS,Yes,NA
45032693,COINS,Yes,NA
45035731,COINS,Yes,NA
45262667,Natwest,Yes,NA
45084491,Natwest,Yes,NA
45092589,Natwest,Yes,NA
45053420,Natwest,Yes,NA
45143342,Warwick Scholars Programme,Yes,NA
45151179,Warwick Scholars Programme,Yes,NA
45152849,Warwick Scholars Programme,Yes,NA
45281759,Warwick Scholars Programme,Yes,Yes
45257404,Warwick Scholars Programme,Yes,NA
45138331,Warwick Scholars Programme,Yes,NA
45179094,Warwick Scholars Programme,Yes,Yes
45154027,Warwick Scholars Programme,Yes,NA
45287360,Warwick Scholars Programme,Yes,Yes
45180232,NA,NA,Yes
45172274,NA,NA,Yes
45167407,NA,NA,Yes
45284996,NA,NA,Yes
45187978,NA,NA,Yes
45164201,NA,NA,Yes
45172503,NA,NA,Yes
45181898,NA,NA,Yes
45159256,NA,NA,Yes
45159633,NA,NA,Yes
45150024,NA,NA,Yes
45154647,NA,NA,Yes
45157370,NA,NA,Yes
45158468,NA,NA,Yes
45154308,NA,NA,Yes
45143376,NA,NA,Yes
45135079,NA,NA,Yes
45288648,NA,NA,Yes
45282964,NA,NA,Yes
45357692,NA,NA,Yes
45288336,NA,NA,Yes
45368306,NA,NA,Yes
45279953,NA,NA,Yes
45278139,NA,NA,Yes
45276285,NA,NA,Yes
45271822,NA,NA,Yes
45275125,NA,NA,Yes
45263829,NA,NA,Yes
45270327,NA,NA,Yes
45382847,NA,NA,Yes
45374692,NA,NA,Yes
45371349,NA,NA,Yes
45376512,NA,NA,Yes
45376963,NA,NA,Yes
45377069,NA,NA,Yes
45368119,NA,NA,Yes
45373188,NA,NA,Yes
45365910,NA,NA,Yes
45497349,NA,NA,Yes
45492344,NA,NA,Yes
45475370,NA,NA,Yes
45473303,NA,NA,Yes
45477996,NA,NA,Yes
45471552,NA,NA,Yes
45472516,NA,NA,Yes
