ID_anonym,Intake_Year,IMD_Quintile,WP1_InCare_n_J,WP2_GCSE_both_n_J,WP3_FSM_n_J,WP4_LPN_n_J,WP5_1stGen_n_J,WP6_SEC_J,WP7_IMD_J,wp_sum_J,wp_ind_J
46091845,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
46070361,13/14,4,NA,NA,NA,0,NA,0,0,0,0
46068629,13/14,NA,0,1,0,NA,0,0,0,1,0
46068118,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
46065101,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45996174,14/15,2,0,NA,NA,0,1,0,1,2,1
45995720,13/14,5,0,0,0,0,0,0,0,0,0
45995410,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45991361,14/15,4,0,0,0,0,1,0,0,1,0
45990705,13/14,4,0,0,0,0,0,0,0,0,0
45990176,13/14,2,0,1,1,0,0,0,1,3,1
45988575,14/15,5,0,NA,NA,0,1,0,0,1,0
45988303,14/15,NA,NA,NA,NA,NA,NA,0,0,0,0
45985010,13/14,5,0,NA,NA,0,0,0,0,0,0
45984935,13/14,5,0,0,0,0,1,0,0,1,0
45984102,13/14,5,0,NA,NA,0,0,0,0,0,0
45983250,13/14,NA,0,NA,NA,0,1,0,0,1,0
45983194,13/14,3,0,0,0,0,0,1,0,1,0
45982508,13/14,NA,0,NA,NA,NA,0,0,0,0,0
45982026,13/14,5,0,NA,NA,0,1,0,0,1,0
45980964,13/14,NA,0,NA,NA,0,1,0,0,1,0
45980641,13/14,1,0,NA,NA,0,1,0,1,2,1
45980437,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45980152,13/14,5,0,0,0,0,1,0,0,1,0
45979673,13/14,NA,0,NA,NA,NA,0,0,0,0,0
45979047,13/14,3,0,0,0,0,0,1,0,1,0
45978018,13/14,3,0,NA,NA,0,0,0,0,0,0
45976826,13/14,2,0,0,0,0,1,0,1,2,1
45976768,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45975426,13/14,2,0,NA,NA,0,1,0,1,2,1
45975331,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45974561,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45973898,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45973519,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45972751,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45972603,13/14,NA,0,1,0,NA,0,0,0,1,0
45972371,13/14,NA,0,NA,NA,NA,0,0,0,0,0
45972298,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45971766,13/14,NA,0,NA,NA,NA,0,0,0,0,0
45971354,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45971254,13/14,NA,0,NA,NA,NA,0,0,0,0,0
45971172,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45971089,13/14,NA,NA,NA,NA,NA,NA,0,0,0,0
45970598,13/14,NA,0,1,0,NA,0,0,0,1,0
45970514,13/14,2,0,NA,NA,0,0,0,1,1,0
45969841,13/14,NA,0,1,0,NA,0,0,0,1,0
45969839,13/14,NA,0,1,0,NA,0,0,0,1,0
45968695,13/14,NA,0,1,0,NA,0,0,0,1,0
45968494,13/14,NA,0,1,0,NA,0,0,0,1,0
45967161,13/14,NA,0,1,0,NA,0,0,0,1,0
45966925,14/15,5,0,0,0,0,1,0,0,1,0
45966911,13/14,NA,0,1,0,NA,0,0,0,1,0
45945801,13/14,NA,0,1,0,NA,0,0,0,1,0
45944857,13/14,NA,0,1,0,NA,0,0,0,1,0
45944481,13/14,NA,0,1,0,NA,0,0,0,1,0
45940637,13/14,NA,0,1,0,NA,0,0,0,1,0
45940501,13/14,NA,0,1,0,NA,0,0,0,1,0
45940125,13/14,NA,0,1,0,NA,0,0,0,1,0
45938149,13/14,NA,0,1,0,NA,0,0,0,1,0
45936761,13/14,NA,0,1,0,NA,0,0,0,1,0
45936507,13/14,NA,0,1,0,NA,0,0,0,1,0
45936429,13/14,NA,0,1,0,NA,0,0,0,1,0
45935187,13/14,NA,0,1,0,NA,0,0,0,1,0
45934716,13/14,NA,0,1,0,NA,0,0,0,1,0
45934490,13/14,NA,0,1,0,NA,0,0,0,1,0
45934434,13/14,NA,0,1,0,NA,0,0,0,1,0
45933679,13/14,NA,0,1,0,NA,0,0,0,1,0
45933635,13/14,NA,0,1,0,NA,0,0,0,1,0
45933232,13/14,NA,0,1,0,NA,0,0,0,1,0
45932464,13/14,NA,0,1,0,NA,0,0,0,1,0
45931924,13/14,NA,0,1,0,NA,0,0,0,1,0
45931913,13/14,NA,0,1,0,NA,0,0,0,1,0
45931621,13/14,NA,0,1,0,NA,0,0,0,1,0
45931603,13/14,NA,0,1,0,NA,0,0,0,1,0
45931595,13/14,5,0,1,0,0,0,0,0,1,0
45931459,13/14,NA,0,1,0,NA,0,0,0,1,0
45931363,13/14,NA,0,1,0,NA,0,0,0,1,0
45931328,13/14,NA,0,1,0,NA,0,0,0,1,0
45931323,13/14,NA,0,1,0,NA,0,0,0,1,0
45931120,13/14,NA,0,1,0,NA,0,0,0,1,0
45931078,13/14,NA,0,1,0,NA,0,0,0,1,0
45897401,13/14,NA,0,NA,NA,NA,0,0,0,0,0
45896621,13/14,NA,0,NA,NA,NA,0,0,0,0,0
