ID_anonym,IMD_Quintile,WP1_InCare_n_J,WP2_GCSE_both_n_J,WP3_FSM_n_J,WP4_LPN_n_J,WP5_1stGen_n_J,WP6_SEC_J,WP7_IMD_J,wp_sum_J,wp_ind_J
46091845,NA,NA,NA,NA,NA,NA,0,0,0,0
46070361,4,NA,NA,NA,0,NA,0,0,0,0
46068629,NA,0,1,0,NA,0,0,0,1,0
46068118,NA,NA,NA,NA,NA,NA,0,0,0,0
46065101,NA,NA,NA,NA,NA,NA,0,0,0,0
45996174,2,0,NA,NA,0,1,0,1,2,1
45995720,5,0,0,0,0,0,0,0,0,0
45995410,NA,NA,NA,NA,NA,NA,0,0,0,0
45991361,4,0,0,0,0,1,0,0,1,0
45990705,4,0,0,0,0,0,0,0,0,0
45990176,2,0,1,1,0,0,0,1,3,1
45988575,5,0,NA,NA,0,1,0,0,1,0
45988303,NA,NA,NA,NA,NA,NA,0,0,0,0
45985010,5,0,NA,NA,0,0,0,0,0,0
45984935,5,0,0,0,0,1,0,0,1,0
45984102,5,0,NA,NA,0,0,0,0,0,0
45983250,NA,0,NA,NA,0,1,0,0,1,0
45983194,3,0,0,0,0,0,1,0,1,0
45982508,NA,0,NA,NA,NA,0,0,0,0,0
45982026,5,0,NA,NA,0,1,0,0,1,0
45980964,NA,0,NA,NA,0,1,0,0,1,0
45980641,1,0,NA,NA,0,1,0,1,2,1
45980437,NA,NA,NA,NA,NA,NA,0,0,0,0
45980152,5,0,0,0,0,1,0,0,1,0
45979673,NA,0,NA,NA,NA,0,0,0,0,0
45979047,3,0,0,0,0,0,1,0,1,0
45978018,3,0,NA,NA,0,0,0,0,0,0
45976826,2,0,0,0,0,1,0,1,2,1
45976768,NA,NA,NA,NA,NA,NA,0,0,0,0
45975426,2,0,NA,NA,0,1,0,1,2,1
45975331,NA,NA,NA,NA,NA,NA,0,0,0,0
45974561,NA,NA,NA,NA,NA,NA,0,0,0,0
45973898,NA,NA,NA,NA,NA,NA,0,0,0,0
45973519,NA,NA,NA,NA,NA,NA,0,0,0,0
45972751,NA,NA,NA,NA,NA,NA,0,0,0,0
45972603,NA,0,1,0,NA,0,0,0,1,0
45972371,NA,0,NA,NA,NA,0,0,0,0,0
45972298,NA,NA,NA,NA,NA,NA,0,0,0,0
45971766,NA,0,NA,NA,NA,0,0,0,0,0
45971354,NA,NA,NA,NA,NA,NA,0,0,0,0
45971254,NA,0,NA,NA,NA,0,0,0,0,0
45971172,NA,NA,NA,NA,NA,NA,0,0,0,0
45971089,NA,NA,NA,NA,NA,NA,0,0,0,0
45970598,NA,0,1,0,NA,0,0,0,1,0
45970514,2,0,NA,NA,0,0,0,1,1,0
45969841,NA,0,1,0,NA,0,0,0,1,0
45969839,NA,0,1,0,NA,0,0,0,1,0
45968695,NA,0,1,0,NA,0,0,0,1,0
45968494,NA,0,1,0,NA,0,0,0,1,0
45967161,NA,0,1,0,NA,0,0,0,1,0
45966925,5,0,0,0,0,1,0,0,1,0
45966911,NA,0,1,0,NA,0,0,0,1,0
45945801,NA,0,1,0,NA,0,0,0,1,0
45944857,NA,0,1,0,NA,0,0,0,1,0
45944481,NA,0,1,0,NA,0,0,0,1,0
45940637,NA,0,1,0,NA,0,0,0,1,0
45940501,NA,0,1,0,NA,0,0,0,1,0
45940125,NA,0,1,0,NA,0,0,0,1,0
45938149,NA,0,1,0,NA,0,0,0,1,0
45936761,NA,0,1,0,NA,0,0,0,1,0
45936507,NA,0,1,0,NA,0,0,0,1,0
45936429,NA,0,1,0,NA,0,0,0,1,0
45935187,NA,0,1,0,NA,0,0,0,1,0
45934716,NA,0,1,0,NA,0,0,0,1,0
45934490,NA,0,1,0,NA,0,0,0,1,0
45934434,NA,0,1,0,NA,0,0,0,1,0
45933679,NA,0,1,0,NA,0,0,0,1,0
45933635,NA,0,1,0,NA,0,0,0,1,0
45933232,NA,0,1,0,NA,0,0,0,1,0
45932464,NA,0,1,0,NA,0,0,0,1,0
45931924,NA,0,1,0,NA,0,0,0,1,0
45931913,NA,0,1,0,NA,0,0,0,1,0
45931621,NA,0,1,0,NA,0,0,0,1,0
45931603,NA,0,1,0,NA,0,0,0,1,0
45931595,5,0,1,0,0,0,0,0,1,0
45931459,NA,0,1,0,NA,0,0,0,1,0
45931363,NA,0,1,0,NA,0,0,0,1,0
45931328,NA,0,1,0,NA,0,0,0,1,0
45931323,NA,0,1,0,NA,0,0,0,1,0
45931120,NA,0,1,0,NA,0,0,0,1,0
45931078,NA,0,1,0,NA,0,0,0,1,0
45897401,NA,0,NA,NA,NA,0,0,0,0,0
45896621,NA,0,NA,NA,NA,0,0,0,0,0
45896487,NA,0,NA,NA,NA,0,0,0,0,0
45896410,5,0,NA,NA,0,1,0,0,1,0
45896241,NA,0,NA,NA,NA,0,0,0,0,0
45896233,5,0,NA,NA,0,1,0,0,1,0
45896068,NA,0,NA,NA,NA,0,0,0,0,0
45895974,NA,0,NA,NA,NA,0,0,0,0,0
45895911,NA,0,NA,NA,NA,1,1,0,2,1
45895592,3,0,0,0,0,0,1,0,1,0
45895392,5,0,0,0,0,1,0,0,1,0
45895286,4,0,NA,NA,0,1,0,0,1,0
45895184,NA,0,NA,NA,NA,0,0,0,0,0
45894818,5,0,0,0,0,1,1,0,2,1
45894609,5,0,NA,NA,0,1,1,0,2,1
45894588,3,0,0,0,0,1,0,0,1,0
45894375,NA,0,NA,NA,NA,0,0,0,0,0
45894249,NA,0,NA,NA,NA,0,0,0,0,0
45894233,NA,0,NA,NA,NA,0,0,0,0,0
45894089,5,0,0,0,0,1,0,0,1,0
45893969,5,0,0,0,0,0,1,0,1,0
45893928,2,0,NA,NA,0,0,0,1,1,0
45893224,5,0,1,0,0,0,0,0,1,0
45893193,NA,0,NA,NA,NA,0,0,0,0,0
45893139,NA,0,NA,NA,NA,0,0,0,0,0
45893063,NA,0,NA,NA,NA,0,0,0,0,0
45893055,NA,0,NA,NA,NA,0,0,0,0,0
45892665,NA,0,NA,NA,NA,0,0,0,0,0
45892647,4,0,0,0,0,0,0,0,0,0
45892636,NA,0,NA,NA,NA,0,0,0,0,0
45892561,2,0,NA,NA,0,0,0,1,1,0
45892537,5,0,0,0,0,1,0,0,1,0
45892536,2,0,NA,NA,0,1,0,1,2,1
45892411,3,0,0,0,0,1,0,0,1,0
45891810,NA,0,NA,NA,NA,0,0,0,0,0
45891684,5,0,NA,NA,0,1,0,0,1,0
45891470,5,0,0,0,0,0,0,0,0,0
45891446,NA,0,NA,NA,NA,0,0,0,0,0
45891416,4,0,0,0,0,1,0,0,1,0
45891314,NA,0,NA,NA,NA,0,0,0,0,0
45891282,NA,0,NA,NA,NA,0,0,0,0,0
45891249,NA,0,NA,NA,NA,0,0,0,0,0
45891239,NA,0,NA,NA,NA,0,0,0,0,0
45891167,NA,0,1,0,NA,0,0,0,1,0
45891014,5,0,NA,NA,0,0,0,0,0,0
45890992,NA,0,NA,NA,NA,0,0,0,0,0
45890894,NA,0,NA,NA,NA,0,0,0,0,0
45890801,NA,0,NA,NA,NA,0,0,0,0,0
45890740,5,0,0,0,0,1,0,0,1,0
45890584,3,0,NA,NA,0,1,1,0,2,1
45890555,NA,0,NA,NA,0,0,1,0,1,0
45890442,5,0,1,0,0,0,1,0,2,1
45890335,5,0,0,0,0,1,0,0,1,0
45890127,4,0,NA,NA,0,1,0,0,1,0
45890100,NA,0,1,0,NA,0,0,0,1,0
45889952,5,0,0,0,0,1,0,0,1,0
45889200,NA,0,NA,NA,NA,0,0,0,0,0
45889175,NA,0,NA,NA,NA,0,0,0,0,0
45889151,NA,0,NA,NA,NA,0,0,0,0,0
