ID_anonym,FY_startyear,wp_sum,wp_sum_with_awards,wp_index,IMD_Quintile,WP1_InCare_n,WP2_GCSE_both_n,WP3_FSM_n,WP4_LPN_n,WP5_1stGen_n,AWARDSform_n
45672315,2015-2016,0,0,Low,2,0,0,0,0,0,NA
45672573,2015-2016,0,0,Low,5,0,0,0,0,0,NA
45771964,2015-2016,0,0,Low,1,0,NA,NA,0,0,NA
45667845,2015-2016,0,0,Low,2,0,0,0,0,0,NA
45668892,2016-2017,0,0,Low,3,0,0,0,0,0,0
45143342,2020-2021,0,0,Low,1,0,0,0,0,0,NA
45780580,2015-2016,1,1,Low,1,0,NA,NA,1,0,NA
45671975,2015-2016,1,1,Low,2,0,0,1,0,0,NA
45684033,2015-2016,1,1,Low,1,0,0,1,0,0,NA
45671263,2015-2016,1,1,Low,2,0,0,0,0,1,NA
45675372,2015-2016,1,1,Low,2,0,0,1,0,0,NA
45674377,2015-2016,1,1,Low,5,0,1,0,0,0,NA
45676675,2015-2016,1,1,Low,1,0,1,0,0,0,NA
45681167,2015-2016,1,1,Low,1,0,1,0,0,0,NA
45683240,2015-2016,1,1,Low,2,0,1,0,0,0,NA
45673406,2015-2016,1,1,Low,3,0,1,0,0,0,NA
45673705,2015-2016,1,1,Low,5,0,1,0,0,0,NA
45686088,2015-2016,1,1,Low,3,0,1,0,0,0,NA
45672883,2015-2016,1,1,Low,2,0,1,0,0,0,NA
45676259,2015-2016,1,1,Low,2,0,0,1,0,0,NA
45679154,2015-2016,1,1,Low,1,0,0,1,0,0,NA
45576803,2016-2017,1,1,Low,5,0,0,0,0,1,0
45565630,2016-2017,1,2,Low,2,0,0,0,1,0,1
45473698,2017-2018,1,2,Low,5,0,0,0,0,1,1
45471151,2017-2018,1,2,Low,5,0,1,0,0,0,1
45481622,2017-2018,1,2,Low,5,0,1,0,0,0,1
45472808,2017-2018,1,2,Low,2,0,1,0,0,0,1
45380683,2018-2019,1,1,Low,1,0,0,0,1,0,NA
45270414,2019-2020,1,1,Low,2,0,1,0,0,0,0
45152849,2020-2021,1,1,Low,1,0,0,0,1,0,NA
45134905,2020-2021,1,1,Low,3,0,0,1,0,0,0
45059615,2021-2022,1,1,Low,1,0,0,0,1,0,NA
45673526,2015-2016,2,2,Low,1,0,1,1,0,0,NA
45672117,2015-2016,2,2,Low,2,0,1,1,0,0,NA
45669384,2015-2016,2,2,Low,2,0,1,1,0,0,NA
45679458,2015-2016,2,2,Low,2,0,1,0,1,0,NA
45676949,2015-2016,2,2,Low,5,0,1,0,0,1,NA
45567994,2016-2017,2,2,Low,5,0,1,0,0,1,0
45573459,2016-2017,2,2,Low,2,0,1,1,0,0,0
45573189,2016-2017,2,2,Low,4,0,1,1,0,0,0
45575485,2016-2017,2,2,Low,5,1,0,0,0,1,0
45573726,2016-2017,2,2,Low,4,0,1,0,0,1,0
45579195,2016-2017,2,2,Low,4,0,1,0,0,1,0
45586482,2016-2017,2,2,Low,3,0,1,1,0,0,0
45574873,2016-2017,2,2,Low,4,0,1,0,0,1,0
45566060,2016-2017,2,2,Low,4,0,1,0,1,0,0
45566932,2016-2017,2,2,Low,5,0,1,0,0,1,0
45468208,2017-2018,2,2,Low,3,0,1,0,0,1,0
45476751,2017-2018,2,2,Low,3,0,1,0,0,1,0
45481160,2017-2018,2,2,Low,2,0,1,0,0,1,0
45475067,2017-2018,2,2,Low,2,0,1,1,0,0,0
45469867,2017-2018,2,2,Low,3,0,1,0,0,1,0
45476737,2017-2018,2,2,Low,2,0,1,1,0,0,0
45465811,2017-2018,2,2,Low,4,0,0,1,0,1,0
45475992,2017-2018,2,2,Low,1,0,1,0,1,0,0
45465818,2017-2018,2,2,Low,3,0,1,1,0,0,0
45478370,2017-2018,2,3,High,3,0,1,0,0,1,1
45464177,2017-2018,2,2,Low,3,0,1,1,0,0,0
45464643,2017-2018,2,2,Low,2,0,1,0,0,1,0
