ID_anonym,FY_startyear,STAGE_DESCRIPTION,STATUS_DESCRIPTION,AWARDSform_n,WP1_InCare_n,WP2_GCSE_both_n,WP3_FSM_n,WP4_LPN_n,WP5_1stGen_n,WP2_GCSE_n,WP2_schoolbottom_n,Polar3_Young_HE_Participation_Quintile,POLAR4_Young_HE_Participation_Quintile,LowSEC_Flag,LPN_Quintile,IMD_Quintile,WP_ALP_Flag,WP_FSM_Flag,WP_GCSE_Flag,InCare_Flag,ParentInHE_Flag,wp_sum,wp_sum_with_awards,wp_index
45672315,2015-2016,Completed,All work completed,NA,0,0,0,0,0,NA,NA,NA,NA,Y,5,2,N,N,N,No,No,0,0,Low
45676675,2015-2016,Completed,All work completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Low
45672573,2015-2016,Completed,All work completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Low
45771964,2015-2016,Completed,All work completed,NA,0,NA,NA,0,0,NA,NA,NA,NA,Y,3,1,NA,NA,NA,No,No,0,0,Low
45679154,2015-2016,Completed,All work completed,NA,0,0,0,0,0,NA,NA,NA,NA,Y,5,1,N,N,N,No,No,0,0,Low
45676949,2015-2016,Completed,All work completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Low
45667845,2015-2016,Completed,All work completed,NA,0,0,0,0,0,NA,NA,NA,NA,N,3,2,N,N,N,No,No,0,0,Low
45668892,2016-2017,Completed,All work completed,0,0,0,0,0,0,NA,NA,5,NA,N,5,3,N,Y,N,No,No,0,0,Low
45143342,2020-2021,Completed,All work completed,NA,0,0,0,0,0,NA,NA,2,3,N,2,1,N,N,N,No,No,0,0,Low
45780580,2015-2016,Completed,All work completed,NA,0,NA,NA,1,0,NA,NA,NA,NA,Y,1,1,NA,NA,NA,No,Unanswered,1,1,Low
45671975,2015-2016,Completed,All work completed,NA,0,0,1,0,0,NA,NA,NA,NA,Y,4,2,N,Y,N,No,No,1,1,Low
45684033,2015-2016,Completed,All work completed,NA,0,0,1,0,0,NA,NA,NA,NA,N,3,1,N,Y,"NA",No,Unanswered,1,1,Low
45671263,2015-2016,Completed,All work completed,NA,0,0,0,0,1,NA,NA,NA,NA,N,4,2,N,N,"NA",No,Yes,1,1,Low
45675372,2015-2016,Completed,All work completed,NA,0,0,1,0,0,NA,NA,NA,NA,N,4,2,N,Y,N,Unanswered,Unanswered,1,1,Low
45674377,2015-2016,Completed,All work completed,NA,0,1,0,0,0,NA,NA,NA,NA,N,2,4,Y,"NA","NA",No,Information refused,1,1,Low
45681167,2015-2016,Completed,All work completed,NA,0,1,0,0,0,NA,NA,NA,NA,Y,2,1,Y,"NA","NA",No,No,1,1,Low
45683240,2015-2016,Completed,All work completed,NA,0,1,0,0,0,NA,NA,NA,NA,Y,4,2,Y,N,N,No,No,1,1,Low
45673406,2015-2016,Completed,All work completed,NA,0,1,0,0,0,NA,NA,NA,NA,N,5,4,Y,N,N,No,No,1,1,Low
45673705,2015-2016,Completed,All work completed,NA,0,1,0,0,0,NA,NA,NA,NA,Y,5,4,Y,N,N,No,No,1,1,Low
45686088,2015-2016,Completed,All work completed,NA,0,1,0,0,0,NA,NA,NA,NA,N,2,3,Y,"NA","NA",No,No,1,1,Low
45672883,2015-2016,Completed,All work completed,NA,0,1,0,0,0,NA,NA,NA,NA,Y,4,1,Y,"NA","NA",No,No,1,1,Low
45576803,2016-2017,Completed,All work completed,0,0,0,0,0,1,NA,NA,5,NA,Y,5,5,NA,NA,NA,No,No,1,1,Low
45565630,2016-2017,Completed,All work completed,1,0,0,0,1,0,NA,NA,5,NA,N,1,2,N,N,N,No,Yes,1,2,Low
45473698,2017-2018,Completed,All work completed,1,0,0,0,0,1,NA,NA,5,NA,N,5,5,N,N,N,No,No,1,2,Low
45471151,2017-2018,Completed,All work completed,1,0,1,0,0,0,NA,NA,4,NA,N,4,5,N,"NA","NA",No,Information refused,1,2,Low
45481622,2017-2018,Completed,All work completed,1,0,1,0,0,0,NA,NA,NA,NA,N,5,5,Y,N,Y,Unanswered,Unanswered,1,2,Low
45472808,2017-2018,Completed,All work completed,1,0,1,0,0,0,NA,NA,2,NA,N,2,2,N,N,"NA",No,Yes,1,2,Low
45380683,2018-2019,Completed,All work completed,NA,0,0,0,1,0,0,0,2,NA,N,2,1,N,N,N,No,Unanswered,1,1,Low
45270414,2019-2020,Completed,All work completed,0,0,1,0,0,0,1,0,2,2,Y,2,2,Y,N,Y,No,Yes,1,1,Low
45152849,2020-2021,Stage 1,UG Resit WO Res,NA,0,0,0,1,0,NA,NA,1,1,Y,1,1,N,N,N,Unanswered,Unanswered,1,1,Low
45059615,2021-2022,Stage 1,Full,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Low
45673526,2015-2016,Completed,All work completed,NA,0,1,1,0,0,NA,NA,NA,NA,N,2,1,Y,Y,Y,Unanswered,Unanswered,2,2,Low
45672117,2015-2016,Completed,All work completed,NA,0,1,1,0,0,NA,NA,NA,NA,N,3,2,Y,Y,Y,No,Unanswered,2,2,Low
45669384,2015-2016,Completed,All work completed,NA,0,1,1,0,0,NA,NA,NA,NA,Y,2,1,N,Y,Y,No,No,2,2,Low
45676259,2015-2016,Completed,All work completed,NA,0,1,1,0,0,NA,NA,NA,NA,N,3,2,Y,Y,Y,No,No,2,2,Low
45679458,2015-2016,Completed,All work completed,NA,0,1,0,1,0,NA,NA,NA,NA,N,1,2,N,N,Y,No,No,2,2,Low
45567994,2016-2017,Left,Voluntarily Withdrawn,0,0,1,0,0,1,NA,NA,5,NA,Y,4,5,N,"NA","NA",No,No,2,2,Low
